1-103rd Street
1-116th Street–Columbia University
1-125th Street
1-137th Street–City College
1-145th Street
1-14th Street
1-157th Street
1-168th Street
1-181st Street
1-18th Street
1-191st Street
1-207th Street
1-215th Street
1-231st Street
1-238th Street
1-23rd Street
1-28th Street
1-34th Street–Penn Station
1-50th Street
1-59th Street–Columbus Circle
1-66th Street–Lincoln Center
1-72nd Street
1-79th Street
1-86th Street
1-96th Street
1-Canal Street
1-Cathedral Parkway–110th Street
1-Chambers Street
1-Christopher Street–Sheridan Square
1-Cortlandt Street
1-Dyckman Street
1-Franklin Street
1-Houston Street
1-Marble Hill–225th Street
1-Rector Street
1-South Ferry
1-Times Square–42nd Street
1-Van Cortlandt Park–242nd Street
2-116th Street
2-125th Street
2-135th Street
2-149th Street–Grand Concourse
2-14th Street
2-174th Street
2-18th Street
2-219th Street
2-225th Street
2-233rd Street
2-23rd Street
2-28th Street
2-34th Street–Penn Station
2-50th Street
2-59th Street–Columbus Circle
2-66th Street–Lincoln Center
2-72nd Street
2-79th Street
2-86th Street
2-96th Street
2-Allerton Avenue
2-Atlantic Avenue–Barclays Center
2-Bergen Street
2-Beverly Road
2-Borough Hall
2-Bronx Park East
2-Burke Avenue
2-Canal Street
2-Central Park North–110th Street
2-Chambers Street
2-Christopher Street–Sheridan Square
2-Church Avenue
2-Clark Street
2-Crown Heights–Utica Avenue
2-East 180th Street
2-Eastern Parkway–Brooklyn Museum
2-Flatbush Avenue–Brooklyn College
2-Franklin Avenue
2-Franklin Street
2-Freeman Street
2-Fulton Street
2-Grand Army Plaza
2-Gun Hill Road
2-Houston Street
2-Hoyt Street
2-Intervale Avenue
2-Jackson Avenue
2-Junius Street
2-Kingston Avenue
2-Nereid Avenue
2-Nevins Street
2-Newkirk Avenue
2-New Lots Avenue
2-Nostrand Avenue
2-Park Place
2-Pelham Parkway
2-Pennsylvania Avenue
2-President Street
2-Prospect Avenue
2-Rockaway Avenue
2-Saratoga Avenue
2-Simpson Street
2-Sterling Street
2-Sutter Avenue–Rutland Road
2-Third Avenue–149th Street
2-Times Square–42nd Street
2-Van Siclen Avenue
2-Wakefield–241st Street
2-Wall Street
2-West Farms Square–East Tremont Avenue
2-Winthrop Street
3-116th Street
3-125th Street
3-135th Street
3-145th Street
3-14th Street
3-34th Street–Penn Station
3-72nd Street
3-96th Street
3-Atlantic Avenue–Barclays Center
3-Bergen Street
3-Borough Hall
3-Central Park North–110th Street
3-Chambers Street
3-Clark Street
3-Crown Heights–Utica Avenue
3-Eastern Parkway–Brooklyn Museum
3-Franklin Avenue
3-Fulton Street
3-Grand Army Plaza
3-Harlem–148th Street
3-Hoyt Street
